Car_Age,Car_Brand,Car_Model,KM Driven,Fuel Type,Transmission Type,Ownership,Price(in Lakhs)
2,Mahindra,Bolero,21170,Diesel,Manual,1st owner,1000000
3,Hyundai,ALCAZAR,100000,Diesel,Manual,1st owner,1447000
6,Tata,Harrier,65310,Diesel,Manual,1st owner,986999
6,Tata,Harrier,270000,Diesel,Manual,1st owner,864000
7,Jeep,Compass,130000,Diesel,Manual,1st owner,1031000
4,MG,HECTOR,150000,Diesel,Manual,1st owner,1050000
1,MG,HECTOR,29520,Diesel,Manual,1st owner,1900000
9,Honda,City,120000,Petrol,Manual,3rd owner,450000
8,Maruti,Baleno,210000,Petrol,Manual,1st owner,340000
9,Hyundai,Creta,110000,Petrol,Manual,2nd owner,700000
11,Hyundai,i20,100000,Diesel,Manual,3rd owner,256999
12,Honda,Amaze,110000,Diesel,Manual,3rd owner,150000
11,Hyundai,Eon,51650,Petrol,Manual,3rd owner,155000
2,Maruti,Baleno,16720,Petrol,Manual,1st owner,699000
8,Maruti,Ciaz,150000,Petrol,Manual,1st owner,425000
10,Maruti,Alto 800,68940,Petrol,Manual,2nd owner,197000
7,Hyundai,Verna,82080,Diesel,Manual,2nd owner,625000
2,Tata,Harrier,43780,Diesel,Auto,1st owner,1685000
10,Ford,Figo Aspire,89170,Diesel,Manual,1st owner,200000
10,Volkswagen,Polo,75870,Petrol,Manual,1st owner,300000
15,Maruti,Swift Dzire,110000,Petrol,Manual,1st owner,182000
11,Tata,Nano,34120,Petrol,Manual,3rd owner,138000
3,Tata,TIGOR,23660,Petrol,Manual,1st owner,669000
11,Maruti,Swift,130000,Diesel,Manual,3rd owner,282000
12,Hyundai,i20,94150,Petrol,Manual,4th owner,177000
5,Renault,TRIBER,33010,Petrol,Manual,1st owner,486000
7,Hyundai,NEW SANTRO,70830,Petrol,Manual,1st owner,289000
13,Hyundai,Eon,89710,Petrol,Manual,3rd owner,135000
7,Maruti,IGNIS,41140,Petrol,Manual,1st owner,381000
15,Ford,Figo,110000,Diesel,Manual,3rd owner,69000
12,Maruti,Ritz,100000,Petrol,Manual,2nd owner,194000
13,Renault,Duster,93880,Diesel,Manual,2nd owner,180000
15,Honda,City,79740,Petrol,Manual,1st owner,130000
10,Maruti,Ciaz,120000,Petrol,Manual,3rd owner,314000
13,Maruti,Wagon R 1.0,49970,Petrol,Manual,2nd owner,138000
4,Tata,NEXON,190000,Diesel,Manual,1st owner,500000
7,Maruti,Swift,87070,Petrol,Manual,2nd owner,445000
14,Volkswagen,Polo,180000,Diesel,Manual,4th owner,111000
15,Hyundai,i10,91540,Petrol,Manual,3rd owner,78000
4,Tata,NEXON,190000,Diesel,Manual,1st owner,698000
2,Maruti,Eeco,4450,Petrol,Manual,2nd owner,553000
10,Honda,City,88350,Diesel,Manual,2nd owner,391000
7,Maruti,Wagon R 1.0,88780,Petrol,Manual,3rd owner,294000
8,Mahindra,KUV 100 NXT,24090,Petrol,Manual,1st owner,358000
8,Hyundai,Grand i10,130000,Diesel,Manual,3rd owner,313000
11,Maruti,Ritz,130000,Diesel,Manual,2nd owner,209000
9,Toyota,Etios,400000,Diesel,Manual,1st owner,250000
13,Maruti,Alto K10,100000,Petrol,Manual,2nd owner,151000
8,Hyundai,Creta,130000,Diesel,Manual,2nd owner,585000
7,Mahindra,Thar,79230,Diesel,Manual,1st owner,455000
11,Volkswagen,Polo,56400,Petrol,Manual,1st owner,385000
14,Maruti,Ritz,89750,Petrol,Manual,4th owner,114999
10,Hyundai,Elite i20,140000,Diesel,Manual,2nd owner,330000
5,Ford,FREESTYLE,29090,Petrol,Manual,1st owner,541000
7,Hyundai,Creta,130000,Petrol,Auto,1st owner,744000
